e_score,s_score,g_score,total_score,doc_vector
3.16,18.0,11.83,32.98,"[-0.8712493777275085, -2.7884747982025146, -4.94374942779541, 4.456080436706543, -1.3248100280761719, 0.01567777246236801, -0.7206927537918091, 1.7363303899765015, -1.046271800994873, 0.7537229061126709, 2.5904664993286133, 2.4465692043304443, 3.8255789279937744, 0.021363360807299614, 1.8518339395523071, -0.6334978938102722, 2.9665117263793945, 0.13555358350276947, 0.15565930306911469, -0.4642728567123413, 1.7532933950424194, 1.2581570148468018, 1.157688856124878, -3.7072837352752686, -0.4947707951068878, 2.3441946506500244, 3.956785202026367, -0.3950384855270386, -3.1650302410125732, -2.249089002609253, 2.840569257736206, 0.5376144647598267, -2.7631287574768066, 1.950364112854004, -0.9030568599700928, 2.7994067668914795, 2.650932550430298, 1.2821836471557617, -3.658090591430664, -6.245718955993652, -1.4674290418624878, -2.487600564956665, -0.8700304627418518, -0.657687783241272, -1.904982328414917, -0.5013574361801147, 1.0550425052642822, -5.271459102630615, -2.7070908546447754, 0.43218523263931274]"
2.83,12.86,10.32,26.02,"[-0.9449087381362915, -2.30063533782959, -5.959256172180176, 3.5910229682922363, -1.6146433353424072, -0.6109513640403748, -0.8057749271392822, 2.6377503871917725, -0.3245849609375, 0.5395303964614868, 2.3708488941192627, 2.69329571723938, 3.8398163318634033, 0.8101798295974731, 1.995405673980713, -2.4262471199035645, 2.773967981338501, 0.19835253059864044, 0.7850424647331238, -0.4366416931152344, 1.32579505443573, 1.1638373136520386, 1.0302916765213013, -3.9972081184387207, -1.460991382598877, 1.6876276731491089, 2.7487356662750244, -0.41413336992263794, -2.3758115768432617, -1.8993686437606812, 2.8576619625091553, 0.37901297211647034, -1.0822421312332153, 1.5880346298217773, -1.7102042436599731, 2.1546621322631836, 2.6641945838928223, 0.3509150445461273, -3.203362226486206, -6.945080757141113, -2.182765483856201, -2.3941664695739746, -0.720819890499115, -0.4582202732563019, -1.9175974130630493, -0.7555010318756104, 0.5119760036468506, -5.624995231628418, -1.5567394495010376, 0.7003529071807861]"
3.81,4.28,5.86,13.94,"[1.0024328231811523, -5.596212863922119, -5.846826076507568, 5.117445468902588, -3.194387674331665, 1.3299461603164673, -1.4498353004455566, 1.0574936866760254, 0.27049538493156433, -2.881192445755005, 0.21425461769104004, 2.5919382572174072, 4.51643705368042, 1.7914791107177734, -1.6919312477111816, -4.110618591308594, 2.24591326713562, 0.16336891055107117, -1.1382755041122437, 2.5104784965515137, 0.7413861751556396, -0.730815589427948, -1.0857956409454346, -2.7442538738250732, -0.3151518702507019, 1.0964986085891724, 1.3995081186294556, -0.21459026634693146, -3.4416801929473877, 1.9216630458831787, 3.4434263706207275, 0.5637007355690002, 0.17938077449798584, 0.6218739151954651, -0.6761795282363892, 1.27336585521698, 1.9926321506500244, 4.2577080726623535, -2.495898962020874, -3.234654664993286, 0.5720837116241455, -1.14972722530365, -0.014782440848648548, -4.073236465454102, -1.9641361236572266, -4.577756881713867, 1.6902419328689575, -2.482089042663574, -5.409234523773193, -2.288302183151245]"
16.38,14.2,5.9,36.36,"[-2.055929660797119, -1.0478730201721191, 0.061916835606098175, 0.8261409997940063, -3.316436290740967, 2.8893887996673584, 0.12787944078445435, 1.202892541885376, -3.614406108856201, -0.27972790598869324, 1.175714135169983, 0.6207026839256287, -1.287914514541626, -0.48782849311828613, -2.2769086360931396, -2.5196547508239746, 3.511734962463379, 1.3787262439727783, -0.384576678276062, 0.4014619290828705, 0.42811331152915955, -2.0920400619506836, 0.20503298938274384, 0.9766322374343872, 3.3099162578582764, -0.19328905642032623, -1.0946085453033447, 1.0653266906738281, 0.5382052063941956, -3.122586965560913, -0.07126262784004211, -1.5368616580963135, 0.1660774052143097, -2.1507551670074463, -3.7945451736450195, 0.24116653203964233, -3.753164529800415, 5.072154521942139, -4.511179447174072, -1.5286258459091187, 1.0320258140563965, -2.4381113052368164, 1.5085430145263672, -5.106849193572998, -3.108919620513916, 1.542850136756897, 2.0807230472564697, -1.2815836668014526, 3.5420751571655273, -4.039544105529785]"
15.89,13.51,5.38,34.78,"[-3.861501455307007, -2.0174708366394043, 0.6553112268447876, 2.6198127269744873, -3.2805187702178955, 2.3804256916046143, -0.4512501657009125, 1.0538750886917114, -3.0433478355407715, 0.22045035660266876, 0.004908005241304636, 0.9127272963523865, -2.984241008758545, -0.8916895389556885, -2.1133816242218018, -0.9866405725479126, 4.920337677001953, 1.3573142290115356, -0.8263295292854309, 0.07593970745801926, 0.014252451248466969, -1.648141860961914, 1.3672943115234375, 1.0464507341384888, 3.7850873470306396, -0.5317681431770325, -1.1470354795455933, 1.2805509567260742, 0.39080920815467834, -3.4981658458709717, 1.3371081352233887, -3.863255023956299, -1.406172513961792, -1.9758505821228027, -3.9983162879943848, -0.14789514243602753, -2.6227056980133057, 5.919017314910889, -4.532965183258057, -1.83071768283844, 1.807036280632019, -1.4343737363815308, 1.1140581369400024, -4.813035011291504, -0.36164242029190063, 1.9905531406402588, 2.6184146404266357, -0.44036468863487244, 4.20543909072876, -3.7604317665100098]"
15.91,13.49,4.85,34.25,"[-4.143264293670654, -1.9034292697906494, -0.05271966755390167, 1.2941389083862305, -4.397540092468262, 2.520953893661499, 1.195563793182373, -0.14923791587352753, -3.35579514503479, 0.1830969899892807, 0.9380847215652466, -0.5714567303657532, -2.8669769763946533, -1.0533533096313477, -2.0967791080474854, -2.673311233520508, 3.0571558475494385, 1.5826969146728516, -0.18507249653339386, -0.39103299379348755, -0.818604588508606, -1.9869129657745361, -0.4210769832134247, 1.119907259941101, 2.8731918334960938, -0.6518985033035278, -1.9847676753997803, 1.3730192184448242, -0.1062660738825798, -3.810171604156494, 0.5415090918540955, -2.70365047454834, -1.0133939981460571, -3.1500704288482666, -5.81447696685791, -1.0416715145111084, -2.814288377761841, 5.5326008796691895, -3.654242753982544, -1.9212690591812134, 2.054976224899292, -0.5892776250839233, 2.9887123107910156, -4.718795299530029, 1.0955486297607422, 1.1857719421386719, 3.4207026958465576, -2.209716796875, 4.455123424530029, -1.6528267860412598]"
2.11,5.2,4.6,11.92,"[-2.1268675327301025, -0.01945110224187374, -5.742423057556152, 2.3353936672210693, -2.078232526779175, 8.642659187316895, 2.8001134395599365, 3.87087082862854, -3.3912229537963867, -0.3742794692516327, 7.780526638031006, 3.6980323791503906, 1.6150813102722168, 1.577317237854004, -1.551288366317749, -6.550937175750732, 3.2571024894714355, -3.981322765350342, -1.7187923192977905, 4.5905632972717285, -0.4926483929157257, 5.778110980987549, 1.581552267074585, 0.36586543917655945, -0.7430548071861267, -2.0070700645446777, 3.287886381149292, -2.5125668048858643, -4.764859676361084, -2.90323543548584, 8.263558387756348, 1.5883008241653442, -0.7541024088859558, 2.692596673965454, -2.1165547370910645, 2.9550259113311768, -0.903685450553894, 2.694052219390869, -5.550354480743408, -2.4977378845214844, -2.013831377029419, -0.99456387758255, 6.241514682769775, -4.063116550445557, -4.283293724060059, -0.5840479135513306, -2.2586379051208496, -2.3213753700256348, -3.2559974193573, 0.9998586773872375]"
0.55,13.58,10.47,24.32,"[-2.3234076499938965, -1.5866111516952515, -4.6164870262146, 2.503927230834961, 2.486640453338623, -1.9124191999435425, 0.14967450499534607, 2.322381019592285, -1.816977858543396, 5.605191707611084, -0.6522773504257202, 0.89850252866745, 0.10653318464756012, 2.3639698028564453, -0.2149096429347992, -2.8077969551086426, 0.5364605188369751, -0.22353191673755646, 1.9744559526443481, 0.9064012169837952, -2.8240878582000732, -1.543127417564392, 0.537095308303833, 0.7619831562042236, -3.361469030380249, -1.3644158840179443, -2.5433011054992676, -1.7688302993774414, -0.7297772169113159, 0.183359757065773, 1.247762680053711, -3.4729957580566406, -3.8020055294036865, 2.0924251079559326, -3.233412504196167, -0.2692807614803314, 1.3888545036315918, -1.8725348711013794, 0.7012280225753784, 0.1472644805908203, -1.6526812314987183, -1.9455498456954956, -0.9283730387687683, 1.469769835472107, -0.6430345773696899, 1.5873355865478516, -1.9266648292541504, 3.464048385620117, 5.321792125701904, 3.2832417488098145]"
0.18,7.69,8.86,16.72,"[0.10975836217403412, -0.05112762376666069, -3.1331233978271484, 0.6382580995559692, 1.3428205251693726, -2.5124855041503906, 0.2928053140640259, 1.6668205261230469, -2.261535882949829, 6.271336078643799, -0.3496836721897125, 0.9461228847503662, -1.948783278465271, 1.6912952661514282, 1.1410796642303467, -1.7423012256622314, 0.09969781339168549, 0.1840125471353531, -0.34021514654159546, -0.32293736934661865, -2.9532101154327393, -0.11885193735361099, 1.4294036626815796, 0.6956077218055725, -4.496052265167236, -1.64024019241333, -2.620957851409912, -3.3859410285949707, 0.5569349527359009, -0.06513269245624542, 2.2079296112060547, -4.257421493530273, -4.364516735076904, 1.8085421323776245, -0.8320014476776123, 1.1055415868759155, 2.4155094623565674, -2.6872270107269287, 2.29257869720459, 0.8308818936347961, -2.0010344982147217, -1.3779702186584473, -1.0795952081680298, 1.4516959190368652, 0.49719566106796265, 2.689647912979126, -0.807768702507019, 0.8823919892311096, 6.304405689239502, 3.678926706314087]"
0.65,6.86,8.95,16.45,"[0.1061447337269783, -1.5820344686508179, -2.9551315307617188, 1.3277640342712402, 1.6503998041152954, -2.4516031742095947, 1.512630581855774, 1.9222451448440552, -1.745181679725647, 5.447964191436768, -0.2535831332206726, 1.002706527709961, -1.3639298677444458, 0.9916284084320068, 0.05126490816473961, -1.1100759506225586, 0.7947070598602295, 1.6265209913253784, -0.5268886089324951, -0.6795984506607056, -2.0868990421295166, 0.4065612554550171, 1.8127094507217407, -0.5158371329307556, -2.320553779602051, -0.9871838092803955, -0.7892579436302185, -3.244338035583496, 0.7001596093177795, -0.2728520631790161, 1.724427342414856, -4.222958087921143, -4.5053205490112305, 1.5516772270202637, -0.8956692218780518, 0.3345909118652344, 1.1484992504119873, -2.2816250324249268, 0.571896493434906, -0.2445978969335556, -2.525514841079712, -2.1017606258392334, -1.3772081136703491, 0.8200879693031311, 0.672463059425354, 1.8979790210723877, -1.2623084783554077, 0.9715800285339355, 6.042586326599121, 2.8545937538146973]"
