e_score,s_score,g_score,total_score,doc_vector
0.46,7.39,9.37,17.22,"[-1.512815237045288, -1.5016531944274902, -4.052366256713867, 4.068930625915527, 3.3958559036254883, -0.5299162268638611, -1.0241812467575073, 2.2305431365966797, -0.5974611043930054, 4.646239280700684, -0.13489381968975067, 0.9478546977043152, -0.9884857535362244, 2.1350860595703125, -1.8174742460250854, -1.184983491897583, 0.829112708568573, 0.7362462282180786, 1.7131768465042114, -0.15309007465839386, -1.8016705513000488, -2.2961924076080322, 0.7521716356277466, -1.1005648374557495, -3.34450626373291, -0.2947896718978882, -3.2205088138580322, -1.750388503074646, 0.0005844144616276026, -0.5934383869171143, 0.5486705303192139, -4.247511386871338, -4.331470012664795, 1.454529047012329, -2.187537908554077, 1.5087834596633911, 3.642279863357544, -1.2055608034133911, -1.1260952949523926, -3.682140350341797, -2.927187919616699, -1.6513328552246094, -0.34847941994667053, 2.321439027786255, 0.7768538594245911, 2.7132809162139893, -0.11041980981826782, 3.702756643295288, 5.818835735321045, 4.14649772644043]"
1.9,10.12,13.95,25.98,"[-2.96954607963562, 0.4190472662448883, -1.3272665739059448, 0.9775810837745667, -4.7337188720703125, -0.21353302896022797, -1.184688687324524, -1.196642518043518, -1.8242261409759521, -1.4818236827850342, -0.5582303404808044, 0.0202479250729084, -1.5663902759552002, -0.2248813360929489, -1.0394173860549927, -4.582465171813965, 1.843699336051941, 0.42106893658638, 0.2698073983192444, -0.4249689280986786, 0.6251452565193176, -1.3694344758987427, -3.117382049560547, 2.0039620399475098, 3.5489139556884766, -2.237156629562378, -4.186892986297607, -1.787652611732483, 0.7498083114624023, 0.7450202107429504, 0.9852232933044434, -0.5084340572357178, 1.0148011445999146, -2.8741111755371094, -1.9299074411392212, 0.5923358201980591, -1.1104702949523926, 2.8450698852539062, -2.4666407108306885, 0.28357988595962524, 2.5774946212768555, -0.8159277439117432, -0.38740095496177673, -3.298631191253662, 0.24886320531368256, -1.616086721420288, 4.419147968292236, -0.11167740076780319, 4.14716100692749, -1.07334566116333]"
2.02,10.58,13.62,26.22,"[-2.400428295135498, -0.6777997016906738, 0.006183497607707977, 1.3832656145095825, -2.9021332263946533, 0.3030227720737457, -0.8643973469734192, -0.6461001634597778, -2.2379181385040283, -0.9703478217124939, -1.4189479351043701, -0.10950367152690887, -1.1620525121688843, -0.49168071150779724, -2.234755754470825, -2.5361855030059814, 1.0958307981491089, 0.7776599526405334, 0.2861698269844055, 0.3125862777233124, 0.2761296033859253, -2.418292760848999, -2.659158706665039, 2.405663251876831, 2.9296557903289795, -1.5594429969787598, -4.2168354988098145, -1.690147042274475, 1.821184754371643, -0.47817912697792053, 1.4126102924346924, -1.1225638389587402, 1.0609971284866333, -3.5145254135131836, -1.5145812034606934, 0.2162288874387741, -1.455365777015686, 2.476240873336792, -1.9387691020965576, 0.821030855178833, 2.7303924560546875, -0.41181063652038574, -1.0805110931396484, -1.9560836553573608, 0.23011338710784912, -1.0150941610336304, 4.6023945808410645, -0.3166837692260742, 3.3309152126312256, -0.9181275963783264]"
2.01,7.78,13.17,22.96,"[-2.290998697280884, 0.02759697288274765, -0.3975045084953308, 1.231454849243164, -2.8598334789276123, 0.7006767988204956, -0.04095584899187088, -2.364279270172119, -2.190629720687866, 0.34122756123542786, -2.1994423866271973, -0.8756678700447083, -1.8624556064605713, -0.443139910697937, -1.5124777555465698, -3.9580113887786865, 2.2910196781158447, 1.3370753526687622, -0.6999302506446838, -0.8290353417396545, 0.23115789890289307, -2.949479579925537, -2.241673231124878, 3.1705243587493896, 1.8006112575531006, -0.9635549187660217, -4.8052754402160645, -1.1619952917099, 2.173863649368286, -0.8408159017562866, 0.12776850163936615, -0.7022660970687866, -0.02789762243628502, -3.596524715423584, -3.488710641860962, 0.24804271757602692, -1.8707331418991089, 2.7497544288635254, -2.3542370796203613, 0.22703056037425995, 2.0748610496520996, 0.15630662441253662, -0.3882036507129669, -2.2654411792755127, 1.5375304222106934, -0.6899895668029785, 3.7331063747406006, -1.7441266775131226, 4.014475345611572, -0.321490615606308]"
0.47,7.97,5.23,13.87,"[0.012567938305437565, -2.1307575702667236, 1.1523011922836304, -0.8754814267158508, -0.2790353298187256, 2.8662660121917725, -0.9879403710365295, 0.14339418709278107, -1.932157039642334, 4.978156089782715, 2.5107970237731934, 0.6549206972122192, -4.0288238525390625, 1.2635979652404785, -1.5266163349151611, -5.175117015838623, 5.435089588165283, -0.5594525337219238, -4.416171073913574, 1.3773530721664429, -4.517818450927734, 4.05501651763916, -0.5199313759803772, -0.8851230144500732, 1.736166000366211, 2.9743540287017822, -4.301257610321045, 0.7280403971672058, 1.857032060623169, -0.5734024047851562, 1.6081621646881104, -3.064396381378174, -2.7460296154022217, 0.23672562837600708, 0.29807376861572266, 2.934382915496826, 2.292869806289673, 2.541844606399536, 2.724785089492798, -1.366823434829712, 2.432494640350342, -0.20037440955638885, 1.7365338802337646, -0.910868227481842, 0.43616917729377747, 3.173996686935425, 0.20401012897491455, 2.8761208057403564, 4.525717735290527, -2.2084052562713623]"
0.45,8.06,5.05,13.54,"[0.0277441143989563, -1.6478655338287354, 1.2014564275741577, -1.3225889205932617, -0.8205146789550781, 0.796622633934021, -0.2846620976924896, -0.4725306034088135, -1.2198457717895508, 5.714601516723633, 1.6605840921401978, 0.8815823197364807, -4.181185722351074, 0.9459128379821777, -0.5988174676895142, -3.9609267711639404, 4.484524726867676, -0.4815548360347748, -4.168449878692627, 2.161851406097412, -3.847201347351074, 4.567175388336182, -0.2005719542503357, -1.0420520305633545, 1.491377592086792, 2.2528398036956787, -5.052058219909668, -0.27624765038490295, 1.304174780845642, -0.6578072905540466, 2.3742589950561523, -2.5916268825531006, -2.9631354808807373, 0.22446087002754211, 0.3231183886528015, 2.1044647693634033, 2.5815541744232178, 3.4462296962738037, 2.5224318504333496, -1.368471384048462, 1.7752243280410767, -0.13561813533306122, 1.9214913845062256, -0.23571865260601044, 0.5944793820381165, 3.833388328552246, 0.269112765789032, 2.5370559692382812, 5.3460187911987305, -0.707926869392395]"
0.48,5.65,4.74,10.88,"[-0.1417759656906128, -1.5557695627212524, 1.573106050491333, -1.3230161666870117, -0.1589406430721283, 2.0194308757781982, -1.957776665687561, -0.610865592956543, -1.3974758386611938, 5.4628071784973145, 1.6024246215820312, 1.0052504539489746, -3.0572731494903564, 1.304762840270996, -1.6793272495269775, -3.6912477016448975, 5.115159511566162, -0.9972341656684875, -3.747457265853882, 2.618788719177246, -3.11242938041687, 3.376509428024292, -0.7094167470932007, -0.1093892902135849, 0.8103177547454834, 2.9604570865631104, -5.7654523849487305, 0.16191622614860535, 1.8879122734069824, -1.0331063270568848, 1.944044589996338, -2.394699811935425, -2.829172372817993, 1.2211474180221558, 0.7046864032745361, 2.0838327407836914, 2.2452101707458496, 3.2761268615722656, 2.9462971687316895, -1.6933960914611816, 2.069505214691162, -1.0606763362884521, 1.1294667720794678, -0.7787976264953613, -0.09379374980926514, 3.815107583999634, -1.0945745706558228, 2.7636287212371826, 4.842175006866455, -1.7270910739898682]"
1.42,5.84,4.64,11.9,"[-0.15950661897659302, -1.6070853471755981, 1.5924805402755737, -0.7614380121231079, -0.48486053943634033, 2.2442166805267334, -1.5472440719604492, -0.9582145810127258, -1.313352108001709, 5.643659591674805, 1.1620405912399292, 2.116851329803467, -3.9142372608184814, 1.6778919696807861, -1.1890017986297607, -2.992072582244873, 4.965886116027832, -1.0555472373962402, -4.29331636428833, 0.9247841835021973, -3.5868918895721436, 3.0987987518310547, -1.0462541580200195, 0.03922043740749359, 0.19814296066761017, 3.120622396469116, -5.5342631340026855, 0.7422527074813843, 1.9284355640411377, -0.5306228995323181, 1.8063679933547974, -2.5046498775482178, -2.7383012771606445, 0.5912672281265259, 0.045473188161849976, 2.599651336669922, 2.2628233432769775, 2.6538686752319336, 2.734924793243408, -1.1054538488388062, 1.8781267404556274, -0.9244720935821533, 2.155571699142456, -0.9503611922264099, -0.09482061117887497, 3.826528310775757, 0.20675180852413177, 3.4012444019317627, 4.007806777954102, -1.5878201723098755]"
1.27,12.97,5.63,19.73,"[-4.345802307128906, -1.2749725580215454, -5.339287281036377, 2.4876816272735596, -2.1380391120910645, -0.2773558795452118, 3.2727153301239014, 3.713301658630371, 0.8204555511474609, 3.4033656120300293, -0.6212605237960815, 1.810399055480957, -3.1368699073791504, 3.002040386199951, -0.47817450761795044, -3.329448938369751, 2.1063547134399414, 0.2110225260257721, 0.6212345957756042, 2.5487821102142334, -0.7140576839447021, 3.9921202659606934, -1.9969314336776733, 0.8774899244308472, 1.1758944988250732, 0.5882845520973206, -3.2553019523620605, -0.3493538498878479, -0.9499596953392029, -0.21158447861671448, 2.7569663524627686, 0.7121328711509705, -2.1757495403289795, 2.221254587173462, -2.5638246536254883, 4.038438320159912, 1.202186942100525, 0.695404589176178, 2.6495048999786377, 0.9758485555648804, 0.5024222731590271, 1.6657596826553345, 1.8532330989837646, -0.9965612292289734, -0.9080100059509277, 1.2287105321884155, -1.078539252281189, 3.6375346183776855, 3.5711889266967773, 1.2394741773605347]"
1.28,12.77,5.46,19.52,"[-3.9923949241638184, -0.6475861668586731, -5.012558460235596, 3.236649513244629, -2.7525646686553955, -0.015348262153565884, 2.706000804901123, 2.2975857257843018, 1.057328224182129, 2.6667439937591553, -0.6926897764205933, 2.786905288696289, -4.16826868057251, 3.110193967819214, -0.06089886650443077, -2.301553726196289, 2.7284586429595947, 0.29199618101119995, -0.565123975276947, 1.3119186162948608, -0.5624887943267822, 4.5724077224731445, -2.842061758041382, 0.5955615043640137, 1.8036943674087524, 0.45170703530311584, -3.1873056888580322, -1.5116373300552368, -1.4549707174301147, 0.17557469010353088, 2.560973882675171, 0.21085582673549652, -2.5095481872558594, 2.6778995990753174, -2.0303843021392822, 3.074498176574707, 1.413740873336792, 0.859054684638977, 2.6830215454101562, 1.9926278591156006, 1.2006986141204834, 0.5347598791122437, 2.1044743061065674, -0.41144290566444397, -0.9063896536827087, 1.465793490409851, -0.6747056841850281, 3.9884655475616455, 3.838956594467163, 1.5519429445266724]"
1.37,9.22,4.78,15.36,"[-3.0854740142822266, -0.6564434766769409, -3.8297367095947266, 3.283963441848755, -2.1749496459960938, 0.33382660150527954, 1.8866509199142456, 1.4878222942352295, 1.7120426893234253, 1.5053843259811401, -0.14227312803268433, 3.5113046169281006, -2.782696485519409, 2.8777530193328857, 0.38652029633522034, -0.9499923586845398, 0.8465717434883118, -0.08941120654344559, -2.88759446144104, 0.573749303817749, -0.6352440714836121, 3.8135409355163574, -2.4727232456207275, 0.4278760552406311, 0.6287261843681335, 0.9519721865653992, -2.0476293563842773, -1.8491744995117188, -0.45595845580101013, -0.18017621338367462, 1.4102286100387573, 0.7840851545333862, -2.7014646530151367, 2.0374300479888916, -2.666003942489624, 3.0446996688842773, 0.6776110529899597, 0.9585102200508118, 2.053744316101074, 2.3641984462738037, 1.0417509078979492, -2.1202094554901123, 2.59348726272583, 1.162551999092102, -0.8563719391822815, 0.18331849575042725, 0.29955556988716125, 3.6216533184051514, 3.2568154335021973, 1.126536250114441]"
2.73,8.53,4.6,15.86,"[-3.2053024768829346, -1.943818211555481, -3.5804617404937744, 3.408477544784546, -2.6281557083129883, 0.08974117040634155, 2.3508291244506836, 0.27337515354156494, 1.3845089673995972, 2.817380428314209, -0.6712346076965332, 2.9321141242980957, -2.8945767879486084, 2.99595046043396, -0.04662128910422325, -0.5760303139686584, 0.9766579270362854, -0.6981794238090515, -2.760291814804077, 0.7352656126022339, -0.8849183320999146, 3.860910654067993, -2.807206392288208, 0.6320067048072815, 1.8502869606018066, 0.6552171111106873, -3.2910680770874023, -0.8950892090797424, -0.7012729644775391, -0.06276087462902069, 1.207899808883667, 0.15604889392852783, -3.142824172973633, 1.6465126276016235, -2.319120407104492, 2.7914247512817383, 0.06214899197220802, 1.2007888555526733, 2.20070219039917, 2.3744592666625977, 1.2755628824234009, -1.7945606708526611, 2.8185460567474365, 1.0585724115371704, -0.2645702660083771, 0.9848999381065369, 0.48750171065330505, 3.378436326980591, 3.2598114013671875, 0.9384580254554749]"
1.91,11.8,7.34,21.05,"[-4.759955883026123, 0.5519128441810608, -1.0984899997711182, 2.775735855102539, 0.4459981322288513, 5.313347816467285, -0.15267273783683777, 1.2476723194122314, 0.22860628366470337, 2.6741909980773926, 0.2415713220834732, 2.0126185417175293, 0.10204622149467468, 1.854422688484192, -0.40802088379859924, -2.881366014480591, 1.780097246170044, 0.184457466006279, -0.5373886823654175, -1.3616914749145508, -2.6301629543304443, -2.161292552947998, 1.3678836822509766, 0.7175361514091492, -1.4469280242919922, 0.16164512932300568, -5.546915531158447, -1.6830370426177979, 1.38302481174469, -1.1111867427825928, 2.232508420944214, -4.797346115112305, -0.5925977230072021, -0.09851185232400894, -1.3361915349960327, 1.8236949443817139, 0.5431106686592102, 0.1698049008846283, -2.683945655822754, -0.11276667565107346, 1.740506649017334, -1.2167240381240845, 2.5239458084106445, -2.3160502910614014, -2.601722002029419, 0.9222226738929749, -0.9012662172317505, 5.419167518615723, 0.8322713375091553, -0.6022235751152039]"
1.98,11.51,7.62,21.11,"[-3.42622971534729, -0.8478948473930359, -2.029146671295166, 0.046574369072914124, 1.443665862083435, 3.611813545227051, -0.1871715784072876, 0.8253527283668518, -0.23744510114192963, 3.536638021469116, 0.33897870779037476, 2.8405089378356934, 1.2046304941177368, 4.154306411743164, -1.4244741201400757, -3.754969835281372, 1.962600827217102, -1.1454325914382935, -1.2159291505813599, 2.0864288806915283, -3.7324650287628174, -1.8003865480422974, -0.6770748496055603, 0.24301093816757202, -2.137049913406372, -2.903613328933716, -5.685657024383545, -2.2327628135681152, 0.9957004189491272, -0.6578678488731384, 3.709419012069702, -3.8337302207946777, 0.971937894821167, -2.0601279735565186, -0.7526577711105347, 0.17877981066703796, 1.6288657188415527, -1.7284471988677979, -0.7836071252822876, -0.9754529595375061, 1.8820271492004395, -1.4742738008499146, 0.6520695686340332, -1.454440951347351, -0.619771420955658, 1.3949003219604492, 1.653939962387085, 4.088744640350342, 1.8404598236083984, -0.30834391713142395]"
1.93,10.35,7.45,19.73,"[-2.467759609222412, -0.7307766675949097, -1.816543698310852, 1.51986563205719, 0.2649211883544922, 4.795089244842529, 2.0493581295013428, 0.560774564743042, -0.16625739634037018, 3.4272851943969727, 0.4480304718017578, 1.5170773267745972, -0.4884609878063202, 3.130838632583618, -1.7968775033950806, -3.285585641860962, 3.0869600772857666, -0.3412412405014038, -0.4581388533115387, 0.0007415928994305432, -3.723525285720825, -2.6460344791412354, -0.48209095001220703, 0.0009925707709044218, -0.8917931318283081, -1.5226800441741943, -4.854291915893555, -0.8195969462394714, 0.36070477962493896, -1.7906132936477661, 2.424123764038086, -4.059927940368652, -0.46229255199432373, -1.5437593460083008, -3.1159961223602295, 1.824272632598877, 1.4556894302368164, -0.0007554491166956723, -1.4422584772109985, -0.6520826816558838, 1.2024775743484497, -1.0194339752197266, 1.7208462953567505, -2.5937411785125732, -0.5427061319351196, 0.4895634949207306, 0.9054434895515442, 5.783797740936279, 1.815097689628601, 0.1251659393310547]"
2.96,7.0,6.82,16.78,"[-2.4621376991271973, -0.8930158019065857, -2.137669801712036, 0.7622988224029541, 0.43060630559921265, 4.239681720733643, 0.4889468252658844, 0.3614993095397949, -0.5518692135810852, 3.5250024795532227, 0.33398187160491943, 0.9167064428329468, -0.25585928559303284, 3.2568345069885254, -2.134798526763916, -3.7836458683013916, 2.5872480869293213, -0.5429202318191528, -2.149627447128296, -0.6689000725746155, -2.291219472885132, -2.448376417160034, -1.2679728269577026, 0.16753052175045013, -2.0218162536621094, -2.2667598724365234, -5.674029350280762, -1.3970381021499634, 1.0828272104263306, -1.4770772457122803, 2.4896175861358643, -3.765413522720337, 0.13059101998806, -2.0015268325805664, -2.0123281478881836, 0.6367473602294922, 1.8598476648330688, -0.8492417335510254, -1.2131893634796143, -1.1329740285873413, 1.2168183326721191, -1.1967638731002808, 1.2401978969573975, -2.4084081649780273, 0.11221102625131607, 1.2586069107055664, 1.2106733322143555, 3.956517457962036, 1.4586197137832642, -0.6018506288528442]"
0.03,16.38,7.07,23.41,"[-1.295181393623352, -0.38029706478118896, -1.2051539421081543, -1.3901435136795044, 5.963350296020508, -4.781830787658691, -3.345362663269043, 1.941116213798523, -2.1884961128234863, 1.9168764352798462, -0.7242304086685181, 1.295825719833374, -0.6865599155426025, 1.8241512775421143, 1.0761983394622803, -2.091085195541382, 0.906938910484314, 1.8840726613998413, -2.1895852088928223, 2.4345810413360596, -0.6450937986373901, 0.36071932315826416, -2.525509834289551, -1.729046106338501, -1.3857961893081665, -0.7343763113021851, 0.19864283502101898, 0.6290653347969055, 2.1215109825134277, -1.5012059211730957, 2.3748080730438232, 4.425304889678955, 0.12631002068519592, -2.689716339111328, -0.09999128431081772, 0.3856840431690216, 1.4924198389053345, -2.112490653991699, -2.5219085216522217, -2.938183307647705, -2.133476495742798, 0.4842061400413513, -2.6440982818603516, 0.8711521029472351, 2.1262707710266113, 3.799863338470459, 1.6659327745437622, -1.7109229564666748, -0.60639888048172, -1.4404733180999756]"
